Lvl,Name,Save,DmgType,HigherLvlIncrease,Upcast,hard_mod,mult,upcast,dmg,addspellmod,time,range,components,duration,classes,conc,desc,save_data,save_success
0,Acid Splash,DEX,Acid,True,,0,1,,"{1: {'Acid': [{1: 6}]}, 5: {'Acid': [{2: 6}]}, 11: {'Acid': [{3: 6}]}, 17: {'Acid': [{4: 6}]}}",False, 1 action , 60 feet ," V, S ",Instantaneous,"['Artificer', 'Sorcerer', 'Wizard']",False,"Source: Player's Handbook
 Conjuration cantrip
 Casting Time:
 1 action
 Range:
 60 feet
 Components:
 V, S
 Duration:
 Instantaneous
 You hurl a bubble of acid. Choose one creature you can see within range, or choose two creatures you can see within range that are within 5 feet of each other. A target must succeed on a Dexterity saving throw or take 1d6 acid damage.
 At Higher Levels.
 This spell's damage increases by 1d6 when you reach 5th level (2d6), 11th level (3d6), and 17th level (4d6).
 Spell Lists.
 Artificer,
 Sorcerer,
 Wizard", or take 1d6 acid damage.,no effect
0,Booming Blade,,Thunder,True,,0,1,,{1: {'Thunder': [{1: 8}]}},False, 1 action , Self (5-foot radius) ," S, M (a melee weapon worth at least 1 sp) ",1 round,"['Artificer', 'Sorcerer', 'Warlock', 'Wizard']",False,"Source: Tasha's Cauldron of Everything
 Evocation cantrip
 Casting Time:
 1 action
 Range:
 Self (5-foot radius)
 Components:
 S, M (a melee weapon worth at least 1 sp)
 Duration:
 1 round
 You brandish the weapon used in the spell's casting and make a melee attack with it against one creature within 5 feet of you. On a hit, the target suffers the weapon attack's normal effects and then becomes sheathed in booming energy until the start of your next turn. If the target willingly moves 5 feet or more before then, the target takes 1d8 thunder damage, and the spell ends.
 At Higher Levels.
 At 5th level, the melee attack deals an extra 1d8 thunder damage to the target on a hit, and the damage the target takes for moving increases to 2d8. Both damage rolls increase by 1d8 at 11th level (2d8 and 3d8) and again at 17th level (3d8 and 4d8).
 Spell Lists.
 Artificer,
 Sorcerer (Optional),
 Warlock (Optional),
 Wizard (Optional)",,
0,Chill Touch,,Necrotic,True,,0,1,,"{1: {'Necrotic': [{1: 8}]}, 5: {'Necrotic': [{2: 8}]}, 11: {'Necrotic': [{3: 8}]}, 17: {'Necrotic': [{4: 8}]}}",False, 1 action , 120 feet ," V, S ",1 round,"['Sorcerer', 'Warlock', 'Wizard']",False,"Source: Player's Handbook
 Necromancy cantrip
 Casting Time:
 1 action
 Range:
 120 feet
 Components:
 V, S
 Duration:
 1 round
 You create a ghostly, skeletal hand in the space of a creature within range. Make a ranged spell attack against the creature to assail it with the chill of the grave. On a hit, the target takes 1d8 necrotic damage, and it can't regain hit points until the start of your next turn. Until then, the hand clings to the target. If you hit an undead target, it also has disadvantage on attack rolls against you until the end of your next turn.
 At Higher Levels.
 This spell's damage increases by 1d8 when you reach 5th level (2d8), 11th level (3d8), and 17th level (4d8).
 Spell Lists.
 Sorcerer,
 Warlock,
 Wizard",,
0,Create Bonfire,DEX,Fire,True,,0,1,,"{1: {'Fire': [{1: 8}]}, 5: {'Fire': [{2: 8}]}, 11: {'Fire': [{3: 8}]}, 17: {'Fire': [{4: 8}]}}",False, 1 action , 60 feet ," V, S ","Concentration, up to 1 minute","['Artificer', 'Druid', 'Sorcerer', 'Warlock', 'Wizard']",True,"Source: Xanathar's Guide to Everything
 Conjuration cantrip
 Casting Time:
 1 action
 Range:
 60 feet
 Components:
 V, S
 Duration:
 Concentration, up to 1 minute
 You create a bonfire on ground that you can see within range. Until the spell ends, the bonfire fills a 5-foot cube. Any creature in the bonfire's space when you cast the spell must succeed on a Dexterity saving throw or take 1d8 fire damage. A creature must also make the saving throw when it enters the bonfire's space for the first time on a turn or ends its turn there.
 At Higher Levels.
 The spell's damage increases by 1d8 when you reach 5th level (2d8), 11th level (3d8), and 17th level (4d8).
 Spell Lists.
 Artificer,
 Druid,
 Sorcerer,
 Warlock,
 Wizard", or take 1d8 fire damage. A creature must also make the saving throw when it enters the bonfire’s space for the first time on a turn or ends its turn there.,no effect
0,Eldritch Blast,,Force,True,,0,1,,{1: {'Force': [{1: 10}]}},False, 1 action , 120 feet ," V, S ",Instantaneous,['Warlock'],False,"Source: Player's Handbook
 Evocation cantrip
 Casting Time:
 1 action
 Range:
 120 feet
 Components:
 V, S
 Duration:
 Instantaneous
 A beam of crackling energy streaks toward a creature within range. Make a ranged spell attack against the target. On a hit, the target takes 1d10 force damage.
 At Higher Levels.
 The spell creates more than one beam when you reach higher levels: two beams at 5th level, three beams at 11th level, and four beams at 17th level. You can direct the beams at the same target or at different ones. Make a separate attack roll for each beam.
 Spell Lists.
 Warlock",,
0,Fire Bolt,,Fire,True,,0,1,,{1: {'Fire': [{1: 10}]}},False, 1 action , 120 feet ," V, S ",Instantaneous,"['Artificer', 'Sorcerer', 'Wizard']",False,"Source: Player's Handbook
 Evocation cantrip
 Casting Time:
 1 action
 Range:
 120 feet
 Components:
 V, S
 Duration:
 Instantaneous
 You hurl a mote of fire at a creature or object within range. Make a ranged spell attack against the target. On a hit, the target takes 1d10 fire damage. A flammable object hit by this spell ignites if it isn't being worn or carried.
 At Higher Levels.
 This spell's damage increases by 1d10 when you reach 5th level (2d10), 11th level (3d10), and 17th level (4d10).
 Spell Lists.
 Artificer,
 Sorcerer,
 Wizard",,
0,Frostbite,CON,Cold,True,,0,1,,"{1: {'Cold': [{1: 6}]}, 5: {'Cold': [{2: 6}]}, 11: {'Cold': [{3: 6}]}, 17: {'Cold': [{4: 6}]}}",False, 1 action , 60 feet ," V, S ",Instantaneous,"['Druid', 'Sorcerer', 'Warlock', 'Wizard', 'Artificer']",False,"Source: Xanathar's Guide to Everything
 Evocation cantrip
 Casting Time:
 1 action
 Range:
 60 feet
 Components:
 V, S
 Duration:
 Instantaneous
 You cause numbing frost to form on one creature that you can see within range. The target must make a Constitution saving throw. On a failed save, the target takes 1d6 cold damage, and it has disadvantage on the next weapon attack roll it makes before the end of its next turn.
 At Higher Levels.
 The spell's damage increases by 1d6 when you reach 5th level (2d6), 11th level (3d6), and 17th level (4d6).
 Spell Lists.
 Druid,
 Sorcerer,
 Warlock,
 Wizard,
 Artificer",". On a failed save, the target takes 1d6 cold damage, and it has disadvantage on the next weapon attack roll it makes before the end of its next turn.",no effect
0,Green-Flame Blade,,Fire,True,,0,1,,{1: {'Fire': [{1: 8}]}},False, 1 action , Self (5-foot radius) ," S, M (a melee weapon worth at least 1 sp) ",Instantaneous,"['Artificer', 'Sorcerer', 'Warlock', 'Wizard']",False,"Source: Tasha's Cauldron of Everything/Sword Coast Adventurer's Guide
 Evocation cantrip
 Casting Time:
 1 action
 Range:
 Self (5-foot radius)
 Components:
 S, M (a melee weapon worth at least 1 sp)
 Duration:
 Instantaneous
 You brandish the weapon used in the spell's casting and make a melee attack with it against one creature within 5 feet of you. On a hit, the target suffers the weapon attack's normal effects, and you can cause green fire to leap from the target to a different creature of your choice that you can see within 5 feet of it. The second creature takes fire damage equal to your spellcasting ability modifier.
 At Higher Levels.
 At 5th level, the melee attack deals an extra 1d8 fire damage to the target on a hit, and the fire damage to the second creature increases to 1d8 + your spellcasting ability modifier. Both damage rolls increase by 1d8 at 11th level (2d8 and 2d8) and 17th level (3d8 and 3d8).
 Spell Lists.
 Artificer,
 Sorcerer (Optional),
 Warlock (Optional),
 Wizard (Optional)",,
0,Infestation,CON,Poison,True,,0,1,,"{1: {'Poison': [{1: 6}]}, 5: {'Poison': [{2: 6}]}, 11: {'Poison': [{3: 6}]}, 17: {'Poison': [{4: 6}]}}",False, 1 action , 30 feet ," V, S, M (a living flea) ",Instantaneous,"['Druid', 'Sorcerer', 'Warlock', 'Wizard']",False,"Source: Xanathar's Guide to Everything
 Conjuration cantrip
 Casting Time:
 1 action
 Range:
 30 feet
 Components:
 V, S, M (a living flea)
 Duration:
 Instantaneous
 You cause a cloud of mites, fleas, and other parasites to appear momentarily on one creature you can see within range. The target must succeed on a Constitution saving throw, or it takes 1d6 poison damage and moves 5 feet in a random direction if it can move and its speed is at least 5 feet. Roll a d4 for the direction: 1, north; 2, south; 3, east; or 4, west. This movement doesn't provoke opportunity attacks, and if the direction rolled is blocked, the target doesn't move.
 At Higher Levels.
 The spell's damage increases by 1d6 when you reach 5th level (2d6), 11th level (3d6), and 17th level (4d6).
 Spell Lists.
 Druid,
 Sorcerer,
 Warlock,
 Wizard",", or it takes 1d6 poison damage and moves 5 feet in a random direction if it can move and its speed is at least 5 feet. Roll a d4 for the direction: 1, north; 2, south; 3, east; or 4, west. This movement doesn’t provoke opportunity attacks, and if the direction rolled is blocked, the target doesn't move.",no effect
0,Lightning Lure,STR,Lightning,True,,0,1,,"{1: {'Lightning': [{1: 8}]}, 5: {'Lightning': [{2: 8}]}, 11: {'Lightning': [{3: 8}]}, 17: {'Lightning': [{4: 8}]}}",False, 1 action , Self (15-foot radius) , V ,Instantaneous,"['Artificer', 'Sorcerer', 'Warlock', 'Wizard']",False,"Source: Tasha's Cauldron of Everything
 Evocation cantrip
 Casting Time:
 1 action
 Range:
 Self (15-foot radius)
 Components:
 V
 Duration:
 Instantaneous
 You create a lash of lightning energy that strikes at one creature of your choice that you can see within 15 feet of you. The target must succeed on a Strength saving throw or be pulled up to 10 feet in a straight line toward you and then take 1d8 lightning damage if it is within 5 feet of you.
 At Higher Levels.
 This spell's damage increases by 1d8 when you reach 5th level (2d8), 11th level (3d8), and 17th level (4d8).
 Spell Lists.
 Artificer,
 Sorcerer (Optional),
 Warlock (Optional),
 Wizard (Optional)", or be pulled up to 10 feet in a straight line toward you and then take 1d8 lightning damage if it is within 5 feet of you.,no effect
0,Magic Stone,,Bludgeoning,True,,0,1,,{1: {'Bludgeoning': [{1: 6}]}},True, 1 bonus action , Touch ," V, S ",1 minute,"['Druid', 'Warlock', 'Artificer']",False,"Source: Xanathar's Guide to Everything/Elemental Evil Player's Companion
 Transmutation cantrip
 Casting Time:
 1 bonus action
 Range:
 Touch
 Components:
 V, S
 Duration:
 1 minute
 You touch one to three pebbles and imbue them with magic. You or someone else can make a ranged spell attack with one of the pebbles by throwing it or hurling it with a sling. If thrown, it has a range of 60 feet. If someone else attacks with the pebble, that attacker adds your spellcasting ability modifier, not the attacker's, to the attack roll. On a hit, the target takes bludgeoning damage equal to 1d6 + your spellcasting ability modifier. Hit or miss, the spell then ends on the stone.
 If you cast this spell again, the spell ends early on any pebbles still affected by it.
 Spell Lists.
 Druid,
 Warlock,
 Artificer",,
0,Mind Sliver,INT,Psychic,True,,0,1,,"{1: {'Psychic': [{1: 6}]}, 5: {'Psychic': [{2: 6}]}, 11: {'Psychic': [{3: 6}]}, 17: {'Psychic': [{4: 6}]}}",False, 1 action , 60 feet , V ,1 round,"['Sorcerer', 'Warlock', 'Wizard']",False,"Source: Tasha's Cauldron of Everything
 Enchantment cantrip
 Casting Time:
 1 action
 Range:
 60 feet
 Components:
 V
 Duration:
 1 round
 You drive a disorienting spike of psychic energy into the mind of one creature you can see within range. The target must succeed on an Intelligence saving throw or take 1d6 psychic damage and subtract 1d4 from the next saving throw it makes before the end of your next turn.
 At Higher Levels.
 This spell's damage increases by 1d6 when you reach certain levels: 5th level (2d6), 11th level (3d6), and 17th level (4d6).
 Spell Lists.
 Sorcerer (Optional),
 Warlock (Optional),
 Wizard (Optional)", or take 1d6 psychic damage and subtract 1d4 from the next saving throw it makes before the end of your next turn.,no effect
0,Poison Spray,CON,Poison,True,,0,1,,{1: {'Poison': [{1: 12}]}},False, 1 action , 10 feet ," V, S ",Instantaneous,"['Artificer', 'Druid', 'Sorcerer', 'Warlock', 'Wizard']",False,"Source: Player's Handbook
 Conjuration cantrip
 Casting Time:
 1 action
 Range:
 10 feet
 Components:
 V, S
 Duration:
 Instantaneous
 You extend your hand toward a creature you can see within range and project a puff of noxious gas from your palm. The creature must succeed on a Constitution saving throw or take 1d12 poison damage.
 At Higher Levels.
 This spell's damage increases by 1d12 when you reach 5th level (2d12), 11th level (3d12), and 17th level (4d12).
 Spell Lists.
 Artificer,
 Druid,
 Sorcerer,
 Warlock,
 Wizard", or take 1d12 poison damage.,no effect
0,Primal Savagery,,Acid,True,,0,1,,{1: {'Acid': [{1: 10}]}},False, 1 action , Self , S ,Instantaneous,['Druid'],False,"Source: Xanathar's Guide to Everything
 Transmutation cantrip
 Casting Time:
 1 action
 Range:
 Self
 Components:
 S
 Duration:
 Instantaneous
 You channel primal magic to cause your teeth or fingernails to sharpen, ready to deliver a corrosive attack. Make a melee spell attack against one creature within 5 feet of you. On a hit, the target takes 1d10 acid damage. After you make the attack, your teeth or fingernails return to normal.
 At Higher Levels.
 The spell's damage increases by 1d10 when you reach 5th level (2d10), 11th level (3d10), and 17th level (4d10).
 Spell Lists.
 Druid",,
0,Produce Flame,,Fire,True,,0,1,,"{1: {'Fire': [{1: 8}]}, 5: {'Fire': [{2: 8}]}, 11: {'Fire': [{3: 8}]}, 17: {'Fire': [{4: 8}]}}",False, 1 action , Self ," V, S ",10 minutes,['Druid'],False,"Source: Player's Handbook
 Conjuration cantrip
 Casting Time:
 1 action
 Range:
 Self
 Components:
 V, S
 Duration:
 10 minutes
 A flickering flame appears in your hand. The flame remains there for the duration and harms neither you nor your equipment. The flame sheds bright light in a 10-foot radius and dim light for an additional 10 feet. The spell ends if you dismiss it as an action or if you cast it again.
 You can also attack with the flame, although doing so ends the spell. When you cast this spell, or as an action on a later turn, you can hurl the flame at a creature within 30 feet of you. Make a ranged spell attack. On a hit, the target takes 1d8 fire damage.
 At Higher Levels.
 This spell's damage increases by 1d8 when you reach 5th level (2d8), 11th level (3d8), and 17th level (4d8).
 Spell Lists.
 Druid",,
0,Ray of Frost,,Cold,True,,0,1,,"{1: {'Cold': [{1: 8}]}, 5: {'Cold': [{2: 8}]}, 11: {'Cold': [{3: 8}]}, 17: {'Cold': [{4: 8}]}}",False, 1 action , 60 feet ," V, S ",Instantaneous,"['Artificer', 'Sorcerer', 'Wizard']",False,"Source: Player's Handbook
 Evocation cantrip
 Casting Time:
 1 action
 Range:
 60 feet
 Components:
 V, S
 Duration:
 Instantaneous
 A frigid beam of blue-white light streaks toward a creature within range. Make a ranged spell attack against the target. On a hit, it takes 1d8 cold damage, and its speed is reduced by 10 feet until the start of your next turn.
 At Higher Levels.
 The spell's damage increases by 1d8 when you reach 5th level (2d8), 11th level (3d8), and 17th level (4d8).
 Spell Lists.
 Artificer,
 Sorcerer,
 Wizard",,
0,Sacred Flame,DEX,Radiant,True,,0,1,,"{1: {'Radiant': [{1: 8}]}, 5: {'Radiant': [{2: 8}]}, 11: {'Radiant': [{3: 8}]}, 17: {'Radiant': [{4: 8}]}}",False, 1 action , 60 feet ," V, S ",Instantaneous,['Cleric'],False,"Source: Player's Handbook
 Evocation cantrip
 Casting Time:
 1 action
 Range:
 60 feet
 Components:
 V, S
 Duration:
 Instantaneous
 Flame-like radiance descends on a creature that you can see within range. The target must succeed on a Dexterity saving throw or take 1d8 radiant damage. The target gains no benefit from cover for this saving throw.
 At Higher Levels.
 The spell's damage increases by 1d8 when you reach 5th level (2d8), 11th level (3d8), and 17th level (4d8).
 Spell Lists.
 Cleric", or take 1d8 radiant damage. The target gains no benefit from cover for this saving throw.,no effect
0,Sapping Sting,CON,Necrotic,True,,0,1,,"{1: {'Necrotic': [{1: 4}]}, 5: {'Necrotic': [{2: 4}]}, 11: {'Necrotic': [{3: 4}]}, 17: {'Necrotic': [{4: 4}]}}",False, 1 action , 30 feet ," V, S ",Instantaneous,['Wizard'],False,"Source: Explorer's Guide to Wildemount
 Necromancy cantrip
 Casting Time:
 1 action
 Range:
 30 feet
 Components:
 V, S
 Duration:
 Instantaneous
 You sap the vitality of one creature you can see in range. The target must succeed on a Constitution saving throw or take 1d4 necrotic damage and fall prone.
 At Higher Levels.
 This spell's damage increases by 1d4 when you reach 5th level (2d4), 11th level (3d4), and 17th level (4d4).
 Spell Lists.
 Wizard (Dunamancy)", or take 1d4 necrotic damage and fall prone.,no effect
0,Shillelagh,,Bludgeoning,False,,0,1,,{1: {'Bludgeoning': [{1: 8}]}},True, 1 bonus action , Touch ," V, S, M (mistletoe, a shamrock leaf, and a club or quarterstaff) ",1 minute,['Druid'],False,"Source: Player's Handbook
 Transmutation cantrip
 Casting Time:
 1 bonus action
 Range:
 Touch
 Components:
 V, S, M (mistletoe, a shamrock leaf, and a club or quarterstaff)
 Duration:
 1 minute
 The wood of a club or quarterstaff you are holding is imbued with nature's power. For the duration, you can use your spellcasting ability instead of Strength for the attack and damage rolls of melee attacks using that weapon, and the weapon's damage die becomes a d8. The weapon also becomes magical, if it isn't already. The spell ends if you cast it again or if you let go of the weapon.
 Spell Lists.
 Druid",,
0,Shocking Grasp,,Lightning,True,,0,1,,"{1: {'Lightning': [{1: 8}]}, 5: {'Lightning': [{2: 8}]}, 11: {'Lightning': [{3: 8}]}, 17: {'Lightning': [{4: 8}]}}",False, 1 action , Touch ," V, S ",Instantaneous,"['Artificer', 'Sorcerer', 'Wizard']",False,"Source: Player's Handbook
 Evocation cantrip
 Casting Time:
 1 action
 Range:
 Touch
 Components:
 V, S
 Duration:
 Instantaneous
 Lightning springs from your hand to deliver a shock to a creature you try to touch. Make a melee spell attack against the target. You have advantage on the attack roll if the target is wearing armor made of metal. On a hit, the target takes 1d8 lightning damage, and it can't take reactions until the start of its next turn.
 At Higher Levels.
 The spell's damage increases by 1d8 when you reach 5th level (2d8), 11th level (3d8), and 17th level (4d8).
 Spell Lists.
 Artificer,
 Sorcerer,
 Wizard",,
0,Sword Burst,DEX,Force,True,,0,1,,"{1: {'Force': [{1: 6}]}, 5: {'Force': [{2: 6}]}, 11: {'Force': [{3: 6}]}, 17: {'Force': [{4: 6}]}}",False, 1 action , Self (5-foot radius) , V ,Instantaneous,"['Artificer', 'Sorcerer', 'Warlock', 'Wizard']",False,"Source: Tasha's Cauldron of Everything
 Conjuration cantrip
 Casting Time:
 1 action
 Range:
 Self (5-foot radius)
 Components:
 V
 Duration:
 Instantaneous
 You create a momentary circle of spectral blades that sweep around you. All other creatures within 5 feet of you must succeed on a Dexterity saving throw or take 1d6 force damage.
 At Higher Levels.
 This spell's damage increases by 1d6 when you reach 5th level (2d6), 11th level (3d6), and 17th level (4d6).
 Spell Lists.
 Artificer,
 Sorcerer (Optional),
 Warlock (Optional),
 Wizard (Optional)", or take 1d6 force damage.,no effect
0,Thorn Whip,,Piercing,True,,0,1,,"{1: {'Piercing': [{1: 6}]}, 5: {'Piercing': [{2: 6}]}, 11: {'Piercing': [{3: 6}]}, 17: {'Piercing': [{4: 6}]}}",False, 1 action , 30 feet ," V, S, M (the stem of a plant with thorns) ",Instantaneous,"['Artificer', 'Druid']",False,"Source: Player's Handbook
 Transmutation cantrip
 Casting Time:
 1 action
 Range:
 30 feet
 Components:
 V, S, M (the stem of a plant with thorns)
 Duration:
 Instantaneous
 You create a long, vine-like whip covered in thorns that lashes out at your command toward a creature in range. Make a melee spell attack against the target. If the attack hits, the creature takes 1d6 piercing damage, and if the creature is Large or smaller, you pull the creature up to 10 feet closer to you.
 At Higher Levels.
 This spell's damage increases by 1d6 when you reach 5th level (2d6), 11th level (3d6), and 17th level (4d6).
 Spell Lists.
 Artificer,
 Druid",,
0,Thunderclap,CON,Thunder,True,,0,1,,"{1: {'Thunder': [{1: 6}]}, 5: {'Thunder': [{2: 6}]}, 11: {'Thunder': [{3: 6}]}, 17: {'Thunder': [{4: 6}]}}",False, 1 action , Self (5-foot radius) , S ,Instantaneous,"['Bard', 'Druid', 'Sorcerer', 'Warlock', 'Wizard', 'Artificer']",False,"Source: Xanathar's Guide to Everything
 Evocation cantrip
 Casting Time:
 1 action
 Range:
 Self (5-foot radius)
 Components:
 S
 Duration:
 Instantaneous
 You create a burst of thunderous sound, which can be heard 100 feet away. Each creature other than you within 5 feet of you must make a Constitution saving throw. On a failed save, the creature takes 1d6 thunder damage.
 At Higher Levels.
 The spell's damage increases by 1d6 when you reach 5th level (2d6), 11th level (3d6), and 17th level (4d6).
 Spell Lists.
 Bard,
 Druid,
 Sorcerer,
 Warlock,
 Wizard,
 Artificer",". On a failed save, the creature takes 1d6 thunder damage.",no effect
0,Toll the Dead,WIS,Necrotic,True,,0,1,,"{1: {'Necrotic': [{1: 8}, {1: 12}]}}",False, 1 action , 60 feet ," V, S ",Instantaneous,"['Cleric', 'Warlock', 'Wizard']",False,"Source: Xanathar's Guide to Everything
 Necromancy cantrip
 Casting Time:
 1 action
 Range:
 60 feet
 Components:
 V, S
 Duration:
 Instantaneous
 You point at one creature you can see within range, and the sound of a dolorous bell fills the air around it for a moment. The target must succeed on a Wisdom saving throw or take 1d8 necrotic damage. If the target is missing any of its hit points, it instead takes 1d12 necrotic damage.
 At Higher Levels.
 The spell's damage increases by one die when you reach 5th level (2d8 or 2d12), 11th level (3d8 or 3d12), and 17th level (4d8 or 4d12).
 Spell Lists.
 Cleric,
 Warlock,
 Wizard"," or take 1d8 necrotic damage. If the target is missing any of its hit points, it instead takes 1d12 necrotic damage.",no effect
0,Vicious Mockery,WIS,Psychic,True,,0,1,,"{1: {'Psychic': [{1: 4}]}, 5: {'Psychic': [{2: 4}]}, 11: {'Psychic': [{3: 4}]}, 17: {'Psychic': [{4: 4}]}}",False, 1 action , 60 feet , V ,Instantaneous,['Bard'],False,"Source: Player's Handbook
 Enchantment cantrip
 Casting Time:
 1 action
 Range:
 60 feet
 Components:
 V
 Duration:
 Instantaneous
 You unleash a string of insults laced with subtle enchantments at a creature you can see within range. If the target can hear you (though it need not understand you), it must succeed on a Wisdom saving throw or take 1d4 psychic damage and have disadvantage on the next attack roll it makes before the end of its next turn.
 At Higher Levels.
 This spell's damage increases by 1d4 when you reach 5th level (2d4), 11th level (3d4), and 17th level (4d4).
 Spell Lists.
 Bard", or take 1d4 psychic damage and have disadvantage on the next attack roll it makes before the end of its next turn.,no effect
0,Word of Radiance,CON,Radiant,True,,0,1,,"{1: {'Radiant': [{1: 6}]}, 5: {'Radiant': [{2: 6}]}, 11: {'Radiant': [{3: 6}]}, 17: {'Radiant': [{4: 6}]}}",False, 1 action , 5 feet ," V, M (a holy symbol) ",Instantaneous,['Cleric'],False,"Source: Xanathar's Guide to Everything
 Evocation cantrip
 Casting Time:
 1 action
 Range:
 5 feet
 Components:
 V, M (a holy symbol)
 Duration:
 Instantaneous
 You utter a divine word, and burning radiance erupts from you. Each creature of your choice that you can see within range must succeed on a Constitution saving throw or take 1d6 radiant damage.
 At Higher Levels.
 The spell's damage increases by 1d6 when you reach 5th level (2d6), 11th level (3d6), and 17th level (4d6).
 Spell Lists.
 Cleric", or take 1d6 radiant damage.,no effect
1,Absorb Elements,,Variable,False,Dice,0,1,{2: {1: 6}},{1: {'Variable': [{1: 6}]}},False," 1 reaction, which you take when you take acid, cold, fire, lightning, or thunder damage ", Self , S ,1 round,"['Artificer', 'Druid', 'Ranger', 'Sorcerer', 'Wizard']",False,"Source: Xanathar's Guide to Everything
 1st-level abjuration
 Casting Time:
 1 reaction, which you take when you take acid, cold, fire, lightning, or thunder damage
 Range:
 Self
 Components:
 S
 Duration:
 1 round
 The spell captures some of the incoming energy, lessening its effect on you and storing it for your next melee attack. You have resistance to the triggering damage type until the start of your next turn. Also, the first time you hit with a melee attack on your next turn, the target takes an extra 1d6 damage of the triggering type, and the spell ends.
 At Higher Levels.
 When you cast this spell using a spell slot of 2nd level or higher, the extra damage increases by 1d6 for each slot level above 1st.
 Spell Lists.
 Artificer,
 Druid,
 Ranger,
 Sorcerer,
 Wizard",,
