Lvl,Name,Save,Dmg,DmgType,HigherLvlIncrease,Upcast,desc,upcast,lvlInc,dmg_die_count,dmg_die_size
0,Acid Splash,DEX,1d6,Acid,True,False," You hurl a bubble of acid. Choose one creature you can see within range, or choose two creatures you can see within range that are within 5 feet of each other. A target must succeed on a Dexterity saving throw or take 1d6 acid damage. ",,"[{5: {2: 6}}, {11: {3: 6}}, {17: {4: 6}}]",1,6
0,Booming Blade,,1d8,Thunder,True,False," You brandish the weapon used in the spell’s casting and make a melee attack with it against one creature within 5 feet of you. On a hit, the target suffers the weapon attack’s normal effects and then becomes sheathed in booming energy until the start of your next turn. If the target willingly moves 5 feet or more before then, the target takes 1d8 thunder damage, and the spell ends. ",,,1,8
0,Chill Touch,,1d8,Necrotic,True,False," You create a ghostly, skeletal hand in the space of a creature within range. Make a ranged spell attack against the creature to assail it with the chill of the grave. On a hit, the target takes 1d8 necrotic damage, and it can’t regain hit points until the start of your next turn. Until then, the hand clings to the target. If you hit an undead target, it also has disadvantage on attack rolls against you until the end of your next turn. ",,"[{5: {2: 8}}, {11: {3: 8}}, {17: {4: 8}}]",1,8
0,Create Bonfire,DEX,1d8,Fire,True,False," You create a bonfire on ground that you can see within range. Until the spell ends, the bonfire fills a 5-foot cube. Any creature in the bonfire’s space when you cast the spell must succeed on a Dexterity saving throw or take 1d8 fire damage. A creature must also make the saving throw when it enters the bonfire’s space for the first time on a turn or ends its turn there. ",,"[{5: {2: 8}}, {11: {3: 8}}, {17: {4: 8}}]",1,8
0,Eldritch Blast,,1d10,Force,True,False," A beam of crackling energy streaks toward a creature within range. Make a ranged spell attack against the target. On a hit, the target takes 1d10 force damage. ",,,1,10
0,Fire Bolt,,1d10,Fire,True,False," You hurl a mote of fire at a creature or object within range. Make a ranged spell attack against the target. On a hit, the target takes 1d10 fire damage. A flammable object hit by this spell ignites if it isn’t being worn or carried. ",,,1,10
0,Frostbite,CON,1d6,Cold,True,False," You cause numbing frost to form on one creature that you can see within range. The target must make a Constitution saving throw. On a failed save, the target takes 1d6 cold damage, and it has disadvantage on the next weapon attack roll it makes before the end of its next turn. ",,"[{5: {2: 6}}, {11: {3: 6}}, {17: {4: 6}}]",1,6
0,Green-Flame Blade,,1d8,Fire,True,False," You brandish the weapon used in the spell’s casting and make a melee attack with it against one creature within 5 feet of you. On a hit, the target suffers the weapon attack’s normal effects, and you can cause green fire to leap from the target to a different creature of your choice that you can see within 5 feet of it. The second creature takes fire damage equal to your spellcasting ability modifier. ",,,1,8
0,Infestation,CON,1d6,Poison,True,False," You cause a cloud of mites, fleas, and other parasites to appear momentarily on one creature you can see within range. The target must succeed on a Constitution saving throw, or it takes 1d6 poison damage and moves 5 feet in a random direction if it can move and its speed is at least 5 feet. Roll a d4 for the direction: 1, north; 2, south; 3, east; or 4, west. This movement doesn’t provoke opportunity attacks, and if the direction rolled is blocked, the target doesn't move. ",,"[{5: {2: 6}}, {11: {3: 6}}, {17: {4: 6}}]",1,6
0,Lightning Lure,STR,1d8,Lightning,True,False, You create a lash of lightning energy that strikes at one creature of your choice that you can see within 15 feet of you. The target must succeed on a Strength saving throw or be pulled up to 10 feet in a straight line toward you and then take 1d8 lightning damage if it is within 5 feet of you. ,,"[{5: {2: 8}}, {11: {3: 8}}, {17: {4: 8}}]",1,8
0,Magic Stone,,1d6+SAM,Bludgeoning,True,False," You touch one to three pebbles and imbue them with magic. You or someone else can make a ranged spell attack with one of the pebbles by throwing it or hurling it with a sling. If thrown, it has a range of 60 feet. If someone else attacks with the pebble, that attacker adds your spellcasting ability modifier, not the attacker’s, to the attack roll. On a hit, the target takes bludgeoning damage equal to 1d6 + your spellcasting ability modifier. Hit or miss, the spell then ends on the stone. If you cast this spell again, the spell ends early on any pebbles still affected by it. ",,,1,6
0,Mind Sliver,INT,1d6,Psychic,True,False, You drive a disorienting spike of psychic energy into the mind of one creature you can see within range. The target must succeed on an Intelligence saving throw or take 1d6 psychic damage and subtract 1d4 from the next saving throw it makes before the end of your next turn. ,,"[{5: {2: 6}}, {11: {3: 6}}, {17: {4: 6}}]",1,6
0,Poison Spray,CON,1d12,Poison,True,False, You extend your hand toward a creature you can see within range and project a puff of noxious gas from your palm. The creature must succeed on a Constitution saving throw or take 1d12 poison damage. ,,,1,12
0,Primal Savagery,,1d10,Acid,True,False," You channel primal magic to cause your teeth or fingernails to sharpen, ready to deliver a corrosive attack. Make a melee spell attack against one creature within 5 feet of you. On a hit, the target takes 1d10 acid damage. After you make the attack, your teeth or fingernails return to normal. ",,,1,10
0,Produce Flame,,1d8,Fire,True,False," A flickering flame appears in your hand. The flame remains there for the duration and harms neither you nor your equipment. The flame sheds bright light in a 10-foot radius and dim light for an additional 10 feet. The spell ends if you dismiss it as an action or if you cast it again. You can also attack with the flame, although doing so ends the spell. When you cast this spell, or as an action on a later turn, you can hurl the flame at a creature within 30 feet of you. Make a ranged spell attack. On a hit, the target takes 1d8 fire damage. ",,"[{5: {2: 8}}, {11: {3: 8}}, {17: {4: 8}}]",1,8
0,Ray of Frost,,1d8,Cold,True,False," A frigid beam of blue-white light streaks toward a creature within range. Make a ranged spell attack against the target. On a hit, it takes 1d8 cold damage, and its speed is reduced by 10 feet until the start of your next turn. ",,"[{5: {2: 8}}, {11: {3: 8}}, {17: {4: 8}}]",1,8
0,Sacred Flame,DEX,1d8,Radiant,True,False, Flame-like radiance descends on a creature that you can see within range. The target must succeed on a Dexterity saving throw or take 1d8 radiant damage. The target gains no benefit from cover for this saving throw. ,,"[{5: {2: 8}}, {11: {3: 8}}, {17: {4: 8}}]",1,8
0,Sapping Sting,CON,1d4,Necrotic,True,False, You sap the vitality of one creature you can see in range. The target must succeed on a Constitution saving throw or take 1d4 necrotic damage and fall prone. ,,"[{5: {2: 4}}, {11: {3: 4}}, {17: {4: 4}}]",1,4
0,Shillelagh,,1d8+SAM,Bludgeoning,False,False," The wood of a club or quarterstaff you are holding is imbued with nature’s power. For the duration, you can use your spellcasting ability instead of Strength for the attack and damage rolls of melee attacks using that weapon, and the weapon’s damage die becomes a d8. The weapon also becomes magical, if it isn’t already. The spell ends if you cast it again or if you let go of the weapon. ",,,1,8
0,Shocking Grasp,,1d8,Lightning,True,False," Lightning springs from your hand to deliver a shock to a creature you try to touch. Make a melee spell attack against the target. You have advantage on the attack roll if the target is wearing armor made of metal. On a hit, the target takes 1d8 lightning damage, and it can’t take reactions until the start of its next turn. ",,"[{5: {2: 8}}, {11: {3: 8}}, {17: {4: 8}}]",1,8
0,Sword Burst,DEX,1d6,Force,True,False, You create a momentary circle of spectral blades that sweep around you. All other creatures within 5 feet of you must succeed on a Dexterity saving throw or take 1d6 force damage. ,,"[{5: {2: 6}}, {11: {3: 6}}, {17: {4: 6}}]",1,6
