dep_name,timestamp,cr_timestamp,time_window,container_name,cpu_use,mem_use
cassdb01-cassandra-0,2024-12-10T00:36:35Z,2024-12-10T00:36:49Z,12.261s,cassandra,129901272n,1988916Ki
cassdb01-cassandra-1,2024-12-10T00:36:35Z,2024-12-10T00:36:49Z,12.262s,cassandra,254929008n,1741056Ki
cassdb01-cassandra-2,2024-12-10T00:36:35Z,2024-12-10T00:36:49Z,12.262s,cassandra,250006809n,1764656Ki
rabbitmq-5b7c5c8594-plk7b,2024-12-10T00:36:34Z,2024-12-10T00:36:49Z,12.26s,rabbitmq,5605595n,155920Ki
workerdb-665c87bb99-d25hj,2024-12-10T00:36:35Z,2024-12-10T00:36:49Z,12.261s,workerdb,56594n,25372Ki
workerroll-dbdf6dcd4-hzfdp,2024-12-10T00:36:35Z,2024-12-10T00:36:49Z,12.262s,workerroll,69760n,20596Ki
cassdb01-cassandra-0,2024-12-10T00:36:50Z,2024-12-10T00:36:52Z,15.002s,cassandra,315880469n,1989572Ki
cassdb01-cassandra-1,2024-12-10T00:36:50Z,2024-12-10T00:36:52Z,15.002s,cassandra,198590301n,1741100Ki
cassdb01-cassandra-2,2024-12-10T00:36:50Z,2024-12-10T00:36:52Z,15.002s,cassandra,220009865n,1764736Ki
rabbitmq-5b7c5c8594-plk7b,2024-12-10T00:36:50Z,2024-12-10T00:36:52Z,15.003s,rabbitmq,2897600n,155972Ki
rest-6db8bbcfc6-hnxr5,2024-12-10T00:36:50Z,2024-12-10T00:36:52Z,15.002s,master,239428n,26968Ki
workerchar-67cfcffdf5-hbsbk,2024-12-10T00:36:50Z,2024-12-10T00:36:52Z,15.004s,workerchar,0,21984Ki
workerdb-665c87bb99-d25hj,2024-12-10T00:36:50Z,2024-12-10T00:36:52Z,15.003s,workerdb,4392n,25372Ki
workerroll-dbdf6dcd4-hzfdp,2024-12-10T00:36:50Z,2024-12-10T00:36:52Z,15.002s,workerroll,0,20596Ki
cassdb01-cassandra-0,2024-12-10T00:36:50Z,2024-12-10T00:36:57Z,15.002s,cassandra,315880469n,1989572Ki
cassdb01-cassandra-1,2024-12-10T00:36:50Z,2024-12-10T00:36:57Z,15.002s,cassandra,198590301n,1741100Ki
cassdb01-cassandra-2,2024-12-10T00:36:50Z,2024-12-10T00:36:57Z,15.002s,cassandra,220009865n,1764736Ki
rabbitmq-5b7c5c8594-plk7b,2024-12-10T00:36:50Z,2024-12-10T00:36:57Z,15.003s,rabbitmq,2897600n,155972Ki
rest-6db8bbcfc6-hnxr5,2024-12-10T00:36:50Z,2024-12-10T00:36:57Z,15.002s,master,239428n,26968Ki
workerchar-67cfcffdf5-hbsbk,2024-12-10T00:36:50Z,2024-12-10T00:36:57Z,15.004s,workerchar,0,21984Ki
